No;BF cement 2%;BF cement 4%;BF cement 6%;BF cement 8%;BF cement 10%;BF cement 12%;fos1;fos2;fos3;fos4;fos5;fos6;fos7;fos8;fos9;fos10;fos11;fos12;disp1;pos1;disp2;pos2;disp3;pos3;disp4;pos4;disp5;pos5;disp6;pos6;disp7;pos7;disp8;pos8;disp9;pos9;disp10;pos10;disp11;pos11;disp12;pos12
11;16;14;16;12;12;2;3.6171875;2.9765625;2.3515625;2.1015625;1.91015625;1.78515625;1.67578125;1.57421875;1.48828125;1.39453125;1.31640625;1.25390625;0.012954959;"0.0;0.0";0.015112534;"0.0;0.0";0.015195865;"0.0;0.0";0.015269078;"0.0;0.0";0.015426592;"0.0;0.0";0.015676591;"0.0;0.0";0.016709853;"0.0;7.0";0.017925444;"0.0;7.0";0.020762639;"7.0;54.0";0.025613432;"9.0;61.0";0.029508047;"11.0;70.0";0.032757251;"14.0;72.0"
12;16;14;18;12;12;;3.6171875;2.8984375;2.2734375;2.0234375;1.84765625;1.72265625;1.61328125;1.51953125;1.44140625;1.37109375;1.31640625;1.25390625;0.012954959;"0.0;0.0";0.015112534;"0.0;0.0";0.015195865;"0.0;0.0";0.015269078;"0.0;0.0";0.015426157;"0.0;0.0";0.015676192;"0.0;0.0";0.016710619;"0.0;7.0";0.017928163;"0.0;7.0";0.020780575;"7.0;54.0";0.025609051;"9.0;61.0";0.029512707;"11.0;70.0";0.032716333;"14.0;72.0"
13;16;14;20;12;10;;3.5859375;2.8203125;2.2265625;1.98046875;1.81640625;1.68359375;1.55859375;1.46484375;1.39453125;1.33984375;1.30859375;1.25390625;0.012954959;"0.0;0.0";0.015112534;"0.0;0.0";0.015195865;"0.0;0.0";0.015269078;"0.0;0.0";0.015426157;"0.0;0.0";0.015676192;"0.0;0.0";0.016710619;"0.0;7.0";0.017928163;"0.0;7.0";0.020780575;"7.0;54.0";0.025609051;"9.0;61.0";0.029512707;"11.0;70.0";0.032716333;"14.0;72.0"
14;16;14;22;12;8;;3.5546875;2.7421875;2.1796875;1.93359375;1.76953125;1.62890625;1.51171875;1.41796875;1.35546875;1.30078125;1.26953125;1.25390625;0.012954959;"0.0;0.0";0.015112534;"0.0;0.0";0.015195865;"0.0;0.0";0.015267753;"0.0;0.0";0.015424509;"0.0;0.0";0.015675377;"0.0;0.0";0.016713345;"0.0;7.0";0.017925688;"0.0;7.0";0.020787044;"7.0;54.0";0.025634582;"9.0;61.0";0.02954529;"11.0;70.0";0.032807286;"14.0;72.0"
15;16;14;24;12;6;;3.4453125;2.6640625;2.1328125;1.87890625;1.70703125;1.57421875;1.46484375;1.37890625;1.31640625;1.26953125;1.23828125;;0.012954959;"0.0;0.0";0.015110948;"0.0;0.0";0.015199321;"0.0;0.0";0.015271738;"0.0;0.0";0.015428416;"0.0;0.0";0.015677219;"0.0;0.0";0.016679128;"0.0;7.0";0.017887675;"0.0;7.0";0.02080582;"7.0;54.0";0.025653599;"9.0;61.0";0.029558211;"11.0;70.0";;
16;16;14;23;12;7;;3.5234375;2.7109375;2.1640625;1.91015625;1.73828125;1.59765625;1.48828125;1.40234375;1.33203125;1.28515625;1.25390625;1.23828125;0.012954959;"0.0;0.0";0.015112534;"0.0;0.0";0.015195865;"0.0;0.0";0.01526793;"0.0;0.0";0.015423903;"0.0;0.0";0.01567652;"0.0;0.0";0.016711905;"0.0;7.0";0.017923713;"0.0;7.0";0.020786824;"7.0;54.0";0.025638666;"9.0;61.0";0.02952789;"11.0;70.0";0.032817432;"14.0;72.0"
17;16;14;22.5;12;7.5;;3.5390625;2.6796875;2.1796875;1.92578125;1.76171875;1.60546875;1.48828125;1.40234375;1.33984375;1.28515625;1.25390625;1.22265625;0.012609779;"0.0;0.0";0.015087142;"0.0;0.0";0.015191487;"0.0;0.0";0.015308949;"0.0;6.5";0.015478923;"0.0;6.5";0.015722525;"0.0;6.5";0.016691919;"0.0;6.5";0.01787904;"0.0;6.5";0.020210724;"7.0;53.0";0.025190758;"8.5;60.0";0.029314564;"11.0;69.5";0.032960183;"15.0;72.0"
18;16;14;22;14;6;;3.4609375;2.6796875;2.1328125;1.88671875;1.72265625;1.59765625;1.49609375;1.41015625;1.33984375;1.29296875;1.26171875;1.24609375;0.012954959;"0.0;0.0";0.015110948;"0.0;0.0";0.015199426;"0.0;0.0";0.015267191;"0.0;0.0";0.015424109;"0.0;0.0";0.015676009;"0.0;0.0";0.01667611;"0.0;7.0";0.017892066;"0.0;7.0";0.020786356;"7.0;54.0";0.025634445;"9.0;61.0";0.029534345;"11.0;70.0";0.032765582;"14.0;72.0"
19;16;14;22;13;7;;3.5234375;2.7109375;2.1640625;1.91015625;1.75390625;1.61328125;1.50390625;1.41796875;1.34765625;1.29296875;1.26953125;1.25390625;0.012954959;"0.0;0.0";0.015112534;"0.0;0.0";0.015195865;"0.0;0.0";0.015267753;"0.0;0.0";0.015424509;"0.0;0.0";0.015675377;"0.0;0.0";0.016713345;"0.0;7.0";0.017925688;"0.0;7.0";0.020787044;"7.0;54.0";0.025634582;"9.0;61.0";0.02954529;"11.0;70.0";0.032807286;"14.0;72.0"
20;16;14;22;14;6;;3.4609375;2.6796875;2.1328125;1.88671875;1.72265625;1.59765625;1.49609375;1.41015625;1.33984375;1.29296875;1.26171875;1.24609375;0.012954959;"0.0;0.0";0.015110948;"0.0;0.0";0.015199426;"0.0;0.0";0.015267191;"0.0;0.0";0.015424109;"0.0;0.0";0.015676009;"0.0;0.0";0.01667611;"0.0;7.0";0.017892066;"0.0;7.0";0.020786356;"7.0;54.0";0.025634445;"9.0;61.0";0.029534345;"11.0;70.0";0.032765582;"14.0;72.0"
21;16;14;22;13.5;6.5;;3.5078125;2.6484375;2.1484375;1.90234375;1.73828125;1.60546875;1.48828125;1.40234375;1.33203125;1.29296875;1.25390625;1.22265625;0.012609779;"0.0;0.0";0.015087458;"0.0;0.0";0.01519386;"0.0;0.0";0.01530666;"0.0;6.5";0.01547864;"0.0;6.5";0.015723443;"0.0;6.5";0.016691426;"0.0;6.5";0.017881582;"0.0;6.5";0.020209287;"7.0;53.0";0.025197811;"8.5;60.0";0.02932052;"11.0;69.5";0.032964796;"15.0;72.0"
