,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,BF cement 2%,BF cement 4%,BF cement 6%,BF cement 8%,BF cement 10%,BF cement 12%,fos1,fos2,fos3,fos4,fos5,fos6,fos7,fos8,fos9,fos10,fos11,fos12,disp1,pos1,disp2,pos2,disp3,pos3,disp4,pos4,disp5,pos5,disp6,pos6,disp7,pos7,disp8,pos8,disp9,pos9,disp10,pos10,disp11,pos11,disp12,pos12
10,,,,,16.0,14.0,14.0,12.0,12.0,4.0,3.7890625,3.0390625,2.4296875,2.1484375,1.96484375,1.83203125,1.72265625,1.62890625,1.51953125,1.41796875,1.31640625,1.25390625,0.012954959151659244,"(0.0, 0.0)",0.015112534182204465,"(0.0, 0.0)",0.0151958652344786,"(0.0, 0.0)",0.015269078415338028,"(0.0, 0.0)",0.015425941348475362,"(0.0, 0.0)",0.01567673646639825,"(0.0, 0.0)",0.016709075311672282,"(0.0, 7.0)",0.01792700704371363,"(0.0, 7.0)",0.02075688052363775,"(7.0, 54.0)",0.025611035142163906,"(9.0, 61.0)",0.029521428625292785,"(11.0, 70.0)",0.03269713244206452,"(14.0, 72.0)"
11,,,,,16.0,14.0,16.0,12.0,12.0,2.0,3.6171875,2.9765625,2.3515625,2.1015625,1.91015625,1.78515625,1.67578125,1.57421875,1.48828125,1.39453125,1.31640625,1.25390625,0.012954959151659244,"(0.0, 0.0)",0.015112534182204465,"(0.0, 0.0)",0.0151958652344786,"(0.0, 0.0)",0.015269078415338028,"(0.0, 0.0)",0.01542659162867165,"(0.0, 0.0)",0.0156765911222595,"(0.0, 0.0)",0.016709852716331,"(0.0, 7.0)",0.01792544412992102,"(0.0, 7.0)",0.020762639097412248,"(7.0, 54.0)",0.025613431631372148,"(9.0, 61.0)",0.029508047106886804,"(11.0, 70.0)",0.03275725097293447,"(14.0, 72.0)"
12,,,,,16.0,14.0,18.0,12.0,12.0,,3.6171875,2.8984375,2.2734375,2.0234375,1.84765625,1.72265625,1.61328125,1.51953125,1.44140625,1.37109375,1.31640625,1.25390625,0.012954959151659244,"(0.0, 0.0)",0.015112534182204465,"(0.0, 0.0)",0.0151958652344786,"(0.0, 0.0)",0.015269078415338028,"(0.0, 0.0)",0.015426157412510478,"(0.0, 0.0)",0.015676192495102267,"(0.0, 0.0)",0.01671061941569606,"(0.0, 7.0)",0.017928163267178346,"(0.0, 7.0)",0.02078057492639384,"(7.0, 54.0)",0.025609051393688378,"(9.0, 61.0)",0.02951270696530051,"(11.0, 70.0)",0.03271633324457844,"(14.0, 72.0)"
13,,,,,16.0,14.0,20.0,12.0,10.0,,3.5859375,2.8203125,2.2265625,1.98046875,1.81640625,1.68359375,1.55859375,1.46484375,1.39453125,1.33984375,1.30859375,1.25390625,0.012954959151659244,"(0.0, 0.0)",0.015112534182204465,"(0.0, 0.0)",0.0151958652344786,"(0.0, 0.0)",0.015269078415338028,"(0.0, 0.0)",0.015426157412510478,"(0.0, 0.0)",0.015676192495102267,"(0.0, 0.0)",0.01671061941569606,"(0.0, 7.0)",0.017928163267178346,"(0.0, 7.0)",0.02078057492639384,"(7.0, 54.0)",0.025609051393688378,"(9.0, 61.0)",0.02951270696530051,"(11.0, 70.0)",0.03271633324457844,"(14.0, 72.0)"
14,,,,,16.0,14.0,22.0,12.0,8.0,,3.5546875,2.7421875,2.1796875,1.93359375,1.76953125,1.62890625,1.51171875,1.41796875,1.35546875,1.30078125,1.26953125,1.25390625,0.012954959151659244,"(0.0, 0.0)",0.015112534182204465,"(0.0, 0.0)",0.0151958652344786,"(0.0, 0.0)",0.015267753429692617,"(0.0, 0.0)",0.015424509069744895,"(0.0, 0.0)",0.01567537743470924,"(0.0, 0.0)",0.016713345221014423,"(0.0, 7.0)",0.017925688392288766,"(0.0, 7.0)",0.020787043867976834,"(7.0, 54.0)",0.02563458184904404,"(9.0, 61.0)",0.029545290232327423,"(11.0, 70.0)",0.032807285523236064,"(14.0, 72.0)"
15,,,,,16.0,14.0,24.0,12.0,6.0,,3.4453125,2.6640625,2.1328125,1.87890625,1.70703125,1.57421875,1.46484375,1.37890625,1.31640625,1.26953125,1.23828125,,0.012954959151659244,"(0.0, 0.0)",0.015110947655756721,"(0.0, 0.0)",0.015199320869373726,"(0.0, 0.0)",0.015271737528317788,"(0.0, 0.0)",0.015428415920233989,"(0.0, 0.0)",0.015677218522299433,"(0.0, 0.0)",0.01667912803239041,"(0.0, 7.0)",0.01788767457465323,"(0.0, 7.0)",0.020805820348344363,"(7.0, 54.0)",0.025653599384003394,"(9.0, 61.0)",0.029558210757299423,"(11.0, 70.0)",,
16,,,,,16.0,14.0,23.0,12.0,7.0,,3.5234375,2.7109375,2.1640625,1.91015625,1.73828125,1.59765625,1.48828125,1.40234375,1.33203125,1.28515625,1.25390625,1.23828125,0.012954959151659244,"(0.0, 0.0)",0.015112534182204465,"(0.0, 0.0)",0.0151958652344786,"(0.0, 0.0)",0.015267929786080919,"(0.0, 0.0)",0.015423903125534846,"(0.0, 0.0)",0.01567652010719314,"(0.0, 0.0)",0.01671190452037861,"(0.0, 7.0)",0.017923713163436352,"(0.0, 7.0)",0.02078682432653043,"(7.0, 54.0)",0.02563866564751526,"(9.0, 61.0)",0.029527889753572182,"(11.0, 70.0)",0.03281743170538812,"(14.0, 72.0)"
17,,,,,16.0,14.0,22.5,12.0,7.5,,3.5390625,2.6796875,2.1796875,1.92578125,1.76171875,1.60546875,1.48828125,1.40234375,1.33984375,1.28515625,1.25390625,1.22265625,0.0126097790337607,"(0.0, 0.0)",0.01508714173392282,"(0.0, 0.0)",0.015191487303966302,"(0.0, 0.0)",0.015308948939495026,"(0.0, 6.5)",0.015478923320232665,"(0.0, 6.5)",0.015722525442110672,"(0.0, 6.5)",0.016691919294704118,"(0.0, 6.5)",0.0178790402157485,"(0.0, 6.5)",0.02021072421102998,"(7.0, 53.0)",0.02519075809644087,"(8.5, 60.0)",0.02931456411609116,"(11.0, 69.5)",0.032960183471105076,"(15.0, 72.0)"
18,,,,,16.0,14.0,22.0,14.0,6.0,,3.4609375,2.6796875,2.1328125,1.88671875,1.72265625,1.59765625,1.49609375,1.41015625,1.33984375,1.29296875,1.26171875,1.24609375,0.012954959151659244,"(0.0, 0.0)",0.015110947655756721,"(0.0, 0.0)",0.015199425711576951,"(0.0, 0.0)",0.015267190557496707,"(0.0, 0.0)",0.015424109095693484,"(0.0, 0.0)",0.015676009113284987,"(0.0, 0.0)",0.016676110376962084,"(0.0, 7.0)",0.017892065705418052,"(0.0, 7.0)",0.02078635564359296,"(7.0, 54.0)",0.025634444558464836,"(9.0, 61.0)",0.029534344755821302,"(11.0, 70.0)",0.0327655822532782,"(14.0, 72.0)"
19,,,,,16.0,14.0,22.0,13.0,7.0,,3.5234375,2.7109375,2.1640625,1.91015625,1.75390625,1.61328125,1.50390625,1.41796875,1.34765625,1.29296875,1.26953125,1.25390625,0.012954959151659244,"(0.0, 0.0)",0.015112534182204465,"(0.0, 0.0)",0.0151958652344786,"(0.0, 0.0)",0.015267753429692617,"(0.0, 0.0)",0.015424509069744895,"(0.0, 0.0)",0.01567537743470924,"(0.0, 0.0)",0.016713345221014423,"(0.0, 7.0)",0.017925688392288766,"(0.0, 7.0)",0.020787043867976834,"(7.0, 54.0)",0.02563458184904404,"(9.0, 61.0)",0.029545290232327423,"(11.0, 70.0)",0.032807285523236064,"(14.0, 72.0)"
20,,,,,16.0,14.0,22.0,14.0,6.0,,3.4609375,2.6796875,2.1328125,1.88671875,1.72265625,1.59765625,1.49609375,1.41015625,1.33984375,1.29296875,1.26171875,1.24609375,0.012954959151659244,"(0.0, 0.0)",0.015110947655756721,"(0.0, 0.0)",0.015199425711576951,"(0.0, 0.0)",0.015267190557496707,"(0.0, 0.0)",0.015424109095693484,"(0.0, 0.0)",0.015676009113284987,"(0.0, 0.0)",0.016676110376962084,"(0.0, 7.0)",0.017892065705418052,"(0.0, 7.0)",0.02078635564359296,"(7.0, 54.0)",0.025634444558464836,"(9.0, 61.0)",0.029534344755821302,"(11.0, 70.0)",0.0327655822532782,"(14.0, 72.0)"
21,,,,,16.0,14.0,22.0,13.5,6.5,,3.5078125,2.6484375,2.1484375,1.90234375,1.73828125,1.60546875,1.48828125,1.40234375,1.33203125,1.29296875,1.25390625,1.22265625,0.0126097790337607,"(0.0, 0.0)",0.015087458119217238,"(0.0, 0.0)",0.01519386016655316,"(0.0, 0.0)",0.015306660456879796,"(0.0, 6.5)",0.015478640100767787,"(0.0, 6.5)",0.015723442571332243,"(0.0, 6.5)",0.016691425683522044,"(0.0, 6.5)",0.017881581995980406,"(0.0, 6.5)",0.020209287302743607,"(7.0, 53.0)",0.025197811301293616,"(8.5, 60.0)",0.029320519626621036,"(11.0, 69.5)",0.03296479612157999,"(15.0, 72.0)"
